instrument	category	source_table	collection
110A PWM WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/110A PWM.vitaltable	Kimura Taro (CC0)
259e-G1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/259e-G1.vitaltable	Kimura Taro (CC0)
259e-G2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/259e-G2.vitaltable	Kimura Taro (CC0)
259e-G3 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/259e-G3.vitaltable	Kimura Taro (CC0)
259e-G4 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/259e-G4.vitaltable	Kimura Taro (CC0)
259e-G6 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/259e-G6.vitaltable	Kimura Taro (CC0)
259e-Mix2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Buchla 259e-Red/259e-Mix2.vitaltable	Kimura Taro (CC0)
259e-Mix4 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Buchla 259e-Red/259e-Mix4.vitaltable	Kimura Taro (CC0)
259e-R6 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Buchla 259e-Red/259e-R6.vitaltable	Kimura Taro (CC0)
259e1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/259e1.vitaltable	Kimura Taro (CC0)
259e2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Softbe Modular/259e2.vitaltable	Kimura Taro (CC0)
303 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/303.vitaltable	WaveEdit Online (CC0)
80_s Christmas WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/80_s Christmas.vital	other
A4TriAMLPF WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/AnalogFour/A4TriAMLPF.vitaltable	Kimura Taro (CC0)
ADPR - Low FMT Yoi WT.xrni	additive and organ	/home/meneses/.local/share/vital/Growl 2 - Talking Yoi/Presets/ADPR - Low FMT Yoi.vital	user/Discord presets (third-party)
ALPHA_2_ WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/ALPHA_2_.vitaltable	WaveEdit Online (CC0)
AM_SINE WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/AM_SINE.vitaltable	WaveEdit Online (CC0)
Add Bell WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Additive Synth/Add Bell.vitaltable	Kimura Taro (CC0)
Add Synth1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Additive Synth/Add Synth1.vitaltable	Kimura Taro (CC0)
Add Synth2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Additive Synth/Add Synth2.vitaltable	Kimura Taro (CC0)
Add Synth2 Walsh IDY WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Additive Synth/Add Synth2 Walsh IDY.vitaltable	Kimura Taro (CC0)
Add Synth5 IcarusBell WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Additive Synth/Add Synth5 IcarusBell.vitaltable	Kimura Taro (CC0)
Alien Tree Bells WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Alien Tree Bells.vital	other
Ambient Soundscape 4 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Ambient Soundscape 4.vital	other
Artificial Keys WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Artificial Keys.vital	other
Audacity DrawSaw WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Audacity/Audacity DrawSaw.vitaltable	Kimura Taro (CC0)
Audacity Wave Harm WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Audacity/Audacity Wave Harm.vitaltable	Kimura Taro (CC0)
BANK_B WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/BANK_B.vitaltable	WaveEdit Online (CC0)
BRAIDS02 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/BRAIDS02.vitaltable	WaveEdit Online (CC0)
BRAIDS04 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/BRAIDS04.vitaltable	WaveEdit Online (CC0)
BS Dashstar WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/BS Dashstar.vital	other
Bass funky WT.xrni	additive and organ	/home/meneses/.local/share/vital/nahush2321/Presets/Bass funky.vital	user/Discord presets (third-party)
BassTables 05 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 05.wav	BassTables (free use license)
BassTables 06 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 06.wav	BassTables (free use license)
BassTables 08 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 08.wav	BassTables (free use license)
BassTables 14 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 14.wav	BassTables (free use license)
BassTables 15 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 15.wav	BassTables (free use license)
BassTables 22 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/basstables-v1/BassTables/BassTables 22.wav	BassTables (free use license)
BassicGrime WT.xrni	additive and organ	/home/meneses/.local/share/vital/VitalBank/Presets/BassicGrime.vital	other
Bassment WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Bassment.vital	other
Bazille PD2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Bazille/Bazille PD2.vitaltable	Kimura Taro (CC0)
Bazille PD3 Icarus Mod WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Bazille/Bazille PD3 Icarus Mod.vitaltable	Kimura Taro (CC0)
Bazille PDFR1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Bazille/Bazille PDFR1.vitaltable	Kimura Taro (CC0)
Bells - Glitter WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Bells - Glitter.vital	other
Birds WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Birds.vital	other
Bouncy synth WT.xrni	additive and organ	/home/meneses/.local/share/vital/nahush2321/Presets/Bouncy synth.vital	user/Discord presets (third-party)
Breathe WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Breathe.vital	other
Bug4 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Icarus Bugs/Bug4.vitaltable	Kimura Taro (CC0)
Bug5 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Icarus Bugs/Bug5.vitaltable	Kimura Taro (CC0)
CYBORG WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/CYBORG.vitaltable	WaveEdit Online (CC0)
Chords Future Soul Stab WT.xrni	additive and organ	/home/meneses/.local/share/vital/VitalPresets/Presets/Chords Future Soul Stab.vital	user/Discord presets (third-party)
Cinematic Horns WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Cinematic Horns.vital	other
Circle VPS WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Vector Phase Modulation/Circle VPS.vitaltable	Kimura Taro (CC0)
Crazy Riser 8 bars WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Crazy Riser 8 bars.vital	other
DN CpxMod WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Digitone/DN CpxMod.vitaltable	Kimura Taro (CC0)
DarkSynth5 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/AmaizingNoises DarkSynth/DarkSynth5.vitaltable	Kimura Taro (CC0)
DarkSynth6 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/AmaizingNoises DarkSynth/DarkSynth6.vitaltable	Kimura Taro (CC0)
Delay jump WT.xrni	additive and organ	/home/meneses/.local/share/vital/nahush2321/Presets/Delay jump.vital	user/Discord presets (third-party)
Dusty Sharp WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Dusty Sharp.vital	other
ESW Analog - ARP Pulse WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Analog/ESW Analog - ARP Pulse.wav	Echo Sound Works Core (free pack)
ESW Analog - Circle PWM WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Analog/ESW Analog - Circle PWM.wav	Echo Sound Works Core (free pack)
ESW Analog - Moog Saw 02 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Analog/ESW Analog - Moog Saw 02.wav	Echo Sound Works Core (free pack)
ESW Analog - Prophet Saw WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Analog/ESW Analog - Prophet Saw.wav	Echo Sound Works Core (free pack)
ESW Analog - Russians WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Analog/ESW Analog - Russians.wav	Echo Sound Works Core (free pack)
ESW Analog - Ultra Saw WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Analog/ESW Analog - Ultra Saw.wav	Echo Sound Works Core (free pack)
ESW Basics - Saw Dual 01 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Basics/ESW Basics - Saw Dual 01.wav	Echo Sound Works Core (free pack)
ESW Basics - Saw Dual 04 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Basics/ESW Basics - Saw Dual 04.wav	Echo Sound Works Core (free pack)
ESW Basics - Saw Dual 05 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Basics/ESW Basics - Saw Dual 05.wav	Echo Sound Works Core (free pack)
ESW Basics - Saw Morph 02 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Basics/ESW Basics - Saw Morph 02.wav	Echo Sound Works Core (free pack)
ESW Basics - Saw Reece WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Basics/ESW Basics - Saw Reece.wav	Echo Sound Works Core (free pack)
ESW Basics - Saw Squeeze WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Basics/ESW Basics - Saw Squeeze.wav	Echo Sound Works Core (free pack)
ESW Basics - Square Morph 01 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Basics/ESW Basics - Square Morph 01.wav	Echo Sound Works Core (free pack)
ESW Chill - Topix WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Chill/ESW Chill - Topix.wav	Echo Sound Works Core (free pack)
ESW Digital - Acid WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Acid.wav	Echo Sound Works Core (free pack)
ESW Digital - Filter Sweep WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Filter Sweep.wav	Echo Sound Works Core (free pack)
ESW Digital - Flavors WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Flavors.wav	Echo Sound Works Core (free pack)
ESW Digital - Fluffy WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Fluffy.wav	Echo Sound Works Core (free pack)
ESW Digital - Folded Saws WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Folded Saws.wav	Echo Sound Works Core (free pack)
ESW Digital - Frion WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Frion.wav	Echo Sound Works Core (free pack)
ESW Digital - Gemini WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Gemini.wav	Echo Sound Works Core (free pack)
ESW Digital - Hex Code WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Hex Code .wav	Echo Sound Works Core (free pack)
ESW Digital - I Dunno Know 2 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - I Dunno Know 2.wav	Echo Sound Works Core (free pack)
ESW Digital - I Dunno Know WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - I Dunno Know.wav	Echo Sound Works Core (free pack)
ESW Digital - Magix WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Magix.wav	Echo Sound Works Core (free pack)
ESW Digital - Megatron WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Megatron.wav	Echo Sound Works Core (free pack)
ESW Digital - Phase Spectra WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Phase Spectra.wav	Echo Sound Works Core (free pack)
ESW Digital - Phase Spectra Wide WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Phase Spectra Wide.wav	Echo Sound Works Core (free pack)
ESW Digital - Redish WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Redish.wav	Echo Sound Works Core (free pack)
ESW Digital - Saw Square Sync WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Saw Square Sync.wav	Echo Sound Works Core (free pack)
ESW Digital - Square Bendz WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Square Bendz.wav	Echo Sound Works Core (free pack)
ESW Digital - Virgo WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Virgo.wav	Echo Sound Works Core (free pack)
ESW Digital - Warm Tubes WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Warm Tubes.wav	Echo Sound Works Core (free pack)
ESW Digitial - Danger WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digitial - Danger.wav	Echo Sound Works Core (free pack)
ESW FM - Freaky WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Freaky.wav	Echo Sound Works Core (free pack)
ESW FM - Grizzly WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Grizzly.wav	Echo Sound Works Core (free pack)
ESW FM - Modal WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Modal.wav	Echo Sound Works Core (free pack)
ESW FM - Sine Folds WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Sine Folds.wav	Echo Sound Works Core (free pack)
ESW FM - Squealer 02 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Squealer 02.wav	Echo Sound Works Core (free pack)
ESW Growl - V8 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Growl/ESW Growl - V8.wav	Echo Sound Works Core (free pack)
ESW Metallic - Chime 01 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Metallic/ESW Metallic - Chime 01.wav	Echo Sound Works Core (free pack)
ESW Metallic - Fuzzy Bells WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Metallic/ESW Metallic - Fuzzy Bells.wav	Echo Sound Works Core (free pack)
ESW Metallic - Waves WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Metallic/ESW Metallic - Waves.wav	Echo Sound Works Core (free pack)
ESW One Shot - BS Grimey WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Synth One Shots/ESW One Shot - BS Grimey.wav	Echo Sound Works Core (free pack)
ESW One Shot - BS Talking Digits WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Synth One Shots/ESW One Shot - BS Talking Digits.wav	Echo Sound Works Core (free pack)
ESW One Shot - LD Hawking WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Synth One Shots/ESW One Shot - LD Hawking.wav	Echo Sound Works Core (free pack)
ESW Real - BR Trombone 01 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - BR Trombone 01.wav	Echo Sound Works Core (free pack)
ESW Real - BR Trumpeter 02 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - BR Trumpeter 02.wav	Echo Sound Works Core (free pack)
ESW Real - BS Upright WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - BS Upright .wav	Echo Sound Works Core (free pack)
ESW Real - Big Brass 01 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Big Brass 01.wav	Echo Sound Works Core (free pack)
ESW Real - Big Brass 02 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Big Brass 02.wav	Echo Sound Works Core (free pack)
ESW Real - Brass Brass Stab WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Brass Brass Stab.wav	Echo Sound Works Core (free pack)
ESW Real - Clarinet WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Clarinet.wav	Echo Sound Works Core (free pack)
ESW Real - KY Rhodes Classic WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - KY Rhodes Classic.wav	Echo Sound Works Core (free pack)
ESW Real - Key Piano Like WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Key Piano Like.wav	Echo Sound Works Core (free pack)
ESW Real - Organ 01 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Organ 01.wav	Echo Sound Works Core (free pack)
ESW Real - Saxaphone WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Saxaphone.wav	Echo Sound Works Core (free pack)
ESW Real - String Electric Stac WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - String Electric Stac.wav	Echo Sound Works Core (free pack)
ESW Real - String Quartet WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - String Quartet.wav	Echo Sound Works Core (free pack)
ESW Real - String World Vio WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - String World Vio.wav	Echo Sound Works Core (free pack)
ESW Real - World Digidoo WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - World Digidoo.wav	Echo Sound Works Core (free pack)
ESW Real - World Tambura WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - World Tambura.wav	Echo Sound Works Core (free pack)
ESW Spectral - Throaty WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Spectral/ESW Spectral - Throaty.wav	Echo Sound Works Core (free pack)
ESW Vocal - Ahhh 02 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Ahhh 02.wav	Echo Sound Works Core (free pack)
ESW Vocal - Ahhh 03 WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Ahhh 03.wav	Echo Sound Works Core (free pack)
ESW Vocal - Animal Ahh WT.xrni	additive and organ	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Animal Ahh.wav	Echo Sound Works Core (free pack)
